id,level,kind,zh,pinyin,en,status,reviewer,note
3c2fe589fbfd59af,biz,business-term,董事长,dǒngshìzhǎng,chairman of the board,,,
2fb98c4cc43436e4,biz,business-term,总经理,zǒngjīnglǐ,general manager / CEO,,,
1548452dda2c1d9c,biz,business-term,合伙人,héhuǒrén,partner,,,
c913f0d76ba93cea,biz,business-term,普通合伙人,pǔtōng héhuǒrén,general partner (GP),,,
74cf761a3123fd14,biz,business-term,有限合伙人,yǒuxiàn héhuǒrén,limited partner (LP),,,
ecd0ad3b97b5dc1f,biz,business-term,创始人,chuàngshǐrén,founder,,,
dbc2fb736bc84f36,biz,business-term,投资经理,tóuzī jīnglǐ,investment manager / associate,,,
87cfeb30c5713ff8,biz,business-term,董事总经理,dǒngshì zǒngjīnglǐ,managing director (MD),,,
763625b0b30962c1,biz,business-term,首席财务官,shǒuxí cáiwùguān,chief financial officer (CFO),,,
f283747b66e773b5,biz,business-term,投资委员会,tóuzī wěiyuánhuì,investment committee (IC),,,
d6c2c44f956c97f5,biz,business-term,基金,jījīn,fund,,,
a668273b55c70e14,biz,business-term,母基金,mǔ jījīn,fund of funds,,,
7dd2b244a0eda3c3,biz,business-term,家族办公室,jiāzú bàngōngshì,family office,,,
fba9aefd44857a76,biz,business-term,主权财富基金,zhǔquán cáifù jījīn,sovereign wealth fund,,,
9e3899a169a08665,biz,business-term,名片,míngpiàn,business card,,,
d48c035e0b3ebab6,biz,business-phrase,很荣幸认识您，王总。,"Hěn róngxìng rènshi nín, Wáng zǒng.","It is an honour to meet you, Mr Wang.",,,
c3e20b1a1a533fab,biz,business-phrase,这是我的名片，请多多指教。,"Zhè shì wǒ de míngpiàn, qǐng duōduō zhǐjiào.",Here is my card; I look forward to your guidance.,,,
ff3cb4dc9b454580,biz,business-phrase,我们是一家专注于跨境投资的私募股权基金。,Wǒmen shì yì jiā zhuānzhù yú kuàjìng tóuzī de sīmù gǔquán jījīn.,We are a private equity fund focused on cross-border investment.,,,
5f2e6bcb88c2f310,biz,business-term,私募股权,sīmù gǔquán,private equity (PE),,,
f341baef5011d3b6,biz,business-term,风险投资,fēngxiǎn tóuzī,venture capital (VC),,,
3647feef36b82e80,biz,business-term,募资,mùzī,fundraising,,,
7ae8e63f8a8c0ea1,biz,business-term,出资承诺,chūzī chéngnuò,capital commitment,,,
45d495532b844e3f,biz,business-term,实缴,shíjiǎo,paid-in (capital),,,
529c3df00f818820,biz,business-term,认缴,rènjiǎo,subscribed / committed (capital),,,
b3ce20962559fdf9,biz,business-term,管理费,guǎnlǐfèi,management fee,,,
129da0a803d26e30,biz,business-term,业绩报酬,yèjì bàochou,carried interest / performance fee,,,
13d0d2b2e8896889,biz,business-term,门槛收益率,ménkǎn shōuyìlǜ,hurdle rate,,,
90fd227a7ca6bf17,biz,business-term,基金期限,jījīn qīxiàn,fund term,,,
4dbf147409ae69fe,biz,business-term,投资期,tóuzīqī,investment period,,,
af0245a304b22073,biz,business-term,首次交割,shǒucì jiāogē,first close,,,
ccdac60773bb7a3d,biz,business-term,最终交割,zuìzhōng jiāogē,final close,,,
816b5797ad205b5e,biz,business-term,基石投资者,jīshí tóuzīzhě,anchor / cornerstone investor,,,
a267b9a6da06e2e6,biz,business-term,美元基金,měiyuán jījīn,USD fund,,,
12a14d02d5f4a2b4,biz,business-term,人民币基金,rénmínbì jījīn,RMB fund,,,
0612920090660ee5,biz,business-phrase,我们正在募集第三期美元基金，目标规模五亿美元。,"Wǒmen zhèngzài mùjí dì-sān qī měiyuán jījīn, mùbiāo guīmó wǔ yì měiyuán.","We are raising our third USD fund, targeting 500 million dollars.",,,
6612a0fa44244e49,biz,business-phrase,管理费百分之二，业绩报酬百分之二十，门槛收益率百分之八。,"Guǎnlǐfèi bǎi fēn zhī èr, yèjì bàochou bǎi fēn zhī èrshí, ménkǎn shōuyìlǜ bǎi fēn zhī bā.","Two percent management fee, twenty percent carry, eight percent hurdle.",,,
72abdd21955a9631,biz,business-phrase,您有兴趣做我们的基石投资者吗？,Nín yǒu xìngqù zuò wǒmen de jīshí tóuzīzhě ma?,Would you be interested in anchoring the fund?,,,
79f326be4409d51f,biz,business-term,项目,xiàngmù,deal / project,,,
49ca95ee7a9a1bdf,biz,business-term,赛道,sàidào,sector / vertical,,,
c1079c79559e00e6,biz,business-term,商业模式,shāngyè móshì,business model,,,
bac9adc1df9582bf,biz,business-term,融资,róngzī,financing / to raise capital,,,
4890584bb57540f5,biz,business-term,轮次,lúncì,financing round,,,
2c751922604a1006,biz,business-term,领投,lǐngtóu,to lead a round,,,
818ce0e2e4bb6060,biz,business-term,跟投,gēntóu,to follow / co-invest,,,
bf180c46d77dbd57,biz,business-term,路演,lùyǎn,roadshow / pitch,,,
c02596a636df0b91,biz,business-term,商业计划书,shāngyè jìhuàshū,business plan (BP),,,
fc585a14bf792136,biz,business-term,独角兽,dújiǎoshòu,unicorn,,,
b3f42275da4ee4a8,biz,business-term,市场规模,shìchǎng guīmó,market size,,,
d4fd37cffecbf554,biz,business-term,竞争壁垒,jìngzhēng bìlěi,competitive moat,,,
c2538ad518329d44,biz,business-term,投资意向书,tóuzī yìxiàngshū,letter of intent / term sheet,,,
13c05da4d01f48ee,biz,business-term,排他期,páitāqī,exclusivity period,,,
2e6819303cc5b34c,biz,business-term,保密协议,bǎomì xiéyì,non-disclosure agreement (NDA),,,
8e5b42630ac43fb6,biz,business-phrase,这个项目我们很感兴趣，想进一步了解。,"Zhè ge xiàngmù wǒmen hěn gǎn xìngqù, xiǎng jìnyíbù liǎojiě.",We are very interested in this deal and would like to learn more.,,,
31c17b0a591406d2,biz,business-phrase,这一轮谁领投？我们可以考虑跟投。,Zhè yì lún shéi lǐngtóu? Wǒmen kěyǐ kǎolǜ gēntóu.,Who is leading this round? We could consider following.,,,
a5531455357c40bb,biz,business-phrase,请先签保密协议，然后我们发商业计划书。,"Qǐng xiān qiān bǎomì xiéyì, ránhòu wǒmen fā shāngyè jìhuàshū.","Please sign the NDA first, then we will send the business plan.",,,
6d6714781239c257,biz,business-term,估值,gūzhí,valuation,,,
8a9b45b2b0f800e3,biz,business-term,投前估值,tóuqián gūzhí,pre-money valuation,,,
c9484e19fd6d0a5e,biz,business-term,投后估值,tóuhòu gūzhí,post-money valuation,,,
7655e62411d3b776,biz,business-term,股权,gǔquán,equity,,,
cd1c6e2e6be6b7a3,biz,business-term,持股比例,chígǔ bǐlì,shareholding percentage,,,
1ee7ed0c9c5ffed3,biz,business-term,优先清算权,yōuxiān qīngsuànquán,liquidation preference,,,
83d9df126f67353f,biz,business-term,反稀释,fǎnxīshì,anti-dilution,,,
024067bf6ef4f3e1,biz,business-term,对赌协议,duìdǔ xiéyì,valuation adjustment mechanism (VAM),,,
93f28022325172aa,biz,business-term,董事会席位,dǒngshìhuì xíwèi,board seat,,,
f7d089e5e8d8c336,biz,business-term,一票否决权,yí piào fǒujuéquán,veto right,,,
8360986485227cc8,biz,business-term,优先认购权,yōuxiān rèngòuquán,pre-emptive right,,,
d5bdeef3243c9709,biz,business-term,回购权,huígòuquán,redemption / buy-back right,,,
ef3319ba5bd093d6,biz,business-term,期权池,qīquánchí,option pool (ESOP),,,
84c237214e93799e,biz,business-term,可转换优先股,kězhuǎnhuàn yōuxiāngǔ,convertible preferred shares,,,
1882f7bab7be829d,biz,business-term,可转债,kězhuǎnzhài,convertible note,,,
eecfcc761b6f1fc0,biz,business-term,领售权,lǐngshòuquán,drag-along right,,,
50048ee643045f00,biz,business-term,随售权,suíshòuquán,tag-along right,,,
1a3136513b02036b,biz,business-term,锁定期,suǒdìngqī,lock-up period,,,
3c0b492e3e0357ba,biz,business-phrase,我们的报价是投前估值两亿美元，投资三千万美元。,"Wǒmen de bàojià shì tóuqián gūzhí liǎng yì měiyuán, tóuzī sānqiān wàn měiyuán.","Our offer is a 200 million pre-money valuation, investing 30 million.",,,
ec2092a99d64f46d,biz,business-phrase,一倍不参与分配的优先清算权是我们的底线。,Yí bèi bù cānyù fēnpèi de yōuxiān qīngsuànquán shì wǒmen de dǐxiàn.,A one-times non-participating liquidation preference is our bottom line.,,,
93195c2d0e8475fd,biz,business-phrase,估值可以谈，但是董事会席位不能少。,"Gūzhí kěyǐ tán, dànshì dǒngshìhuì xíwèi bù néng shǎo.","Valuation is negotiable, but the board seat is not.",,,
e35c7f25ac5a27ef,biz,business-term,尽职调查,jìnzhí diàochá,due diligence,,,
664a03e371ae524d,biz,business-term,财务尽调,cáiwù jìndiào,financial due diligence,,,
69c81a320790d747,biz,business-term,法律尽调,fǎlǜ jìndiào,legal due diligence,,,
07cb2bd95079d9d8,biz,business-term,审计报告,shěnjì bàogào,audit report,,,
7eb6599bfbbcb612,biz,business-term,数据室,shùjùshì,data room,,,
e21b307982a5e5f6,biz,business-term,现金流,xiànjīnliú,cash flow,,,
