id,level,kind,zh,pinyin,en,status,reviewer,note
160493e45a57d6a7,6,sentence,他被关进了监狱。,Tā bèi guān jìn le jiānyù.,He was put in prison.,fix,claude:claude-opus-5,|Tā bèi guānjìn le jiānyù.||关进 is one verb-complement word in pinyin.
e80180ea1cbe6f75,6,sentence,我发誓，我没有撒谎。,"Wǒ fāshì, wǒ méiyǒu sāhuǎng.","I swear, I did not lie.",ok,claude:claude-opus-5,
b2b7527663ea9c90,6,sentence,你别那么愚蠢了！,Nǐ bié nàme yúchǔn le!,Don’t be so stupid!,ok,claude:claude-opus-5,
3c8bcefd1371f49e,6,sentence,警察逮捕了那个小偷。,Jǐngchá dàibǔ le nàge xiǎotōu.,The police arrested that thief.,ok,claude:claude-opus-5,
bd1e96f6f8130a38,6,sentence,宇宙到底有多大？,Yǔzhòu dàodǐ yǒu duō dà?,"How big is the universe, really?",ok,claude:claude-opus-5,
524e5af286e25d0e,6,sentence,他失踪三天了，家人很恐惧。,"Tā shīzōng sān tiān le, jiārén hěn kǒngjù.","He has been missing for three days, and his family is terrified.",ok,claude:claude-opus-5,
8980a6019e121307,6,sentence,这里就像天堂一样。,Zhèlǐ jiù xiàng tiāntáng yíyàng.,This place is just like heaven.,fix,claude:claude-opus-5,|Zhèlǐ jiù xiàng tiāntáng yīyàng.||一 keeps its dictionary tone in this course's pinyin convention.
6547835a844dfc1c,6,sentence,他背叛了自己的朋友。,Tā bèipàn le zìjǐ de péngyou.,He betrayed his own friends.,ok,claude:claude-opus-5,
77f56d6031ce7851,6,sentence,为了孩子，她牺牲了很多。,"Wèile háizi, tā xīshēng le hěn duō.",She sacrificed a lot for her children.,ok,claude:claude-opus-5,
2653d90d1883fcb8,6,sentence,这个问题我们还得琢磨琢磨。,Zhège wèntí wǒmen hái děi zuómo zuómo.,We still need to think this problem over.,ok,claude:claude-opus-5,
0834cfa1afcb33fe,6,sentence,他承诺明年一定回来。,Tā chéngnuò míngnián yídìng huílái.,He promised he would definitely come back next year.,fix,claude:claude-opus-5,"|Tā chéngnuò míngnián yīdìng huílái.||一 written with dictionary tone, no sandhi."
74306cdf11ca85bf,6,sentence,听到这个消息，大家都很惊讶。,"Tīngdào zhège xiāoxi, dàjiā dōu hěn jīngyà.",Everyone was surprised to hear the news.,ok,claude:claude-opus-5,
ae58f6b943580f02,6,sentence,犯了错误就应该受到惩罚。,Fàn le cuòwù jiù yīnggāi shòudào chéngfá.,"If you make a mistake, you should be punished.",ok,claude:claude-opus-5,
9cdef63bc9a60210,6,sentence,他是无辜的，不是罪犯。,"Tā shì wúgū de, bú shì zuìfàn.",He is innocent; he is not a criminal.,fix,claude:claude-opus-5,"|Tā shì wúgū de, bù shì zuìfàn.||不 written with dictionary tone, no sandhi."
