id,level,kind,zh,pinyin,en,status,reviewer,note
3c2fe589fbfd59af,biz,business-term,董事长,dǒngshìzhǎng,chairman of the board,ok,claude:claude-opus-5,
2fb98c4cc43436e4,biz,business-term,总经理,zǒngjīnglǐ,general manager / CEO,ok,claude:claude-opus-5,
1548452dda2c1d9c,biz,business-term,合伙人,héhuǒrén,partner,ok,claude:claude-opus-5,
c913f0d76ba93cea,biz,business-term,普通合伙人,pǔtōng héhuǒrén,general partner (GP),ok,claude:claude-opus-5,
74cf761a3123fd14,biz,business-term,有限合伙人,yǒuxiàn héhuǒrén,limited partner (LP),ok,claude:claude-opus-5,
ecd0ad3b97b5dc1f,biz,business-term,创始人,chuàngshǐrén,founder,ok,claude:claude-opus-5,
dbc2fb736bc84f36,biz,business-term,投资经理,tóuzī jīnglǐ,investment manager / associate,ok,claude:claude-opus-5,
87cfeb30c5713ff8,biz,business-term,董事总经理,dǒngshì zǒngjīnglǐ,managing director (MD),ok,claude:claude-opus-5,
763625b0b30962c1,biz,business-term,首席财务官,shǒuxí cáiwùguān,chief financial officer (CFO),ok,claude:claude-opus-5,
f283747b66e773b5,biz,business-term,投资委员会,tóuzī wěiyuánhuì,investment committee (IC),ok,claude:claude-opus-5,
d6c2c44f956c97f5,biz,business-term,基金,jījīn,fund,ok,claude:claude-opus-5,
a668273b55c70e14,biz,business-term,母基金,mǔ jījīn,fund of funds,ok,claude:claude-opus-5,
7dd2b244a0eda3c3,biz,business-term,家族办公室,jiāzú bàngōngshì,family office,ok,claude:claude-opus-5,
fba9aefd44857a76,biz,business-term,主权财富基金,zhǔquán cáifù jījīn,sovereign wealth fund,ok,claude:claude-opus-5,
9e3899a169a08665,biz,business-term,名片,míngpiàn,business card,ok,claude:claude-opus-5,
d48c035e0b3ebab6,biz,business-phrase,很荣幸认识您，王总。,"Hěn róngxìng rènshi nín, Wáng zǒng.","It is an honour to meet you, Mr Wang.",ok,claude:claude-opus-5,
c3e20b1a1a533fab,biz,business-phrase,这是我的名片，请多多指教。,"Zhè shì wǒ de míngpiàn, qǐng duōduō zhǐjiào.",Here is my card; I look forward to your guidance.,ok,claude:claude-opus-5,
ff3cb4dc9b454580,biz,business-phrase,我们是一家专注于跨境投资的私募股权基金。,Wǒmen shì yì jiā zhuānzhù yú kuàjìng tóuzī de sīmù gǔquán jījīn.,We are a private equity fund focused on cross-border investment.,fix,claude:claude-opus-5,|Wǒmen shì yī jiā zhuānzhù yú kuàjìng tóuzī de sīmù gǔquán jījīn.||Tone sandhi of 一 should not be written; use dictionary tone yī.
5f2e6bcb88c2f310,biz,business-term,私募股权,sīmù gǔquán,private equity (PE),ok,claude:claude-opus-5,
f341baef5011d3b6,biz,business-term,风险投资,fēngxiǎn tóuzī,venture capital (VC),ok,claude:claude-opus-5,
3647feef36b82e80,biz,business-term,募资,mùzī,fundraising,ok,claude:claude-opus-5,
7ae8e63f8a8c0ea1,biz,business-term,出资承诺,chūzī chéngnuò,capital commitment,ok,claude:claude-opus-5,
45d495532b844e3f,biz,business-term,实缴,shíjiǎo,paid-in (capital),ok,claude:claude-opus-5,
529c3df00f818820,biz,business-term,认缴,rènjiǎo,subscribed / committed (capital),ok,claude:claude-opus-5,
b3ce20962559fdf9,biz,business-term,管理费,guǎnlǐfèi,management fee,ok,claude:claude-opus-5,
129da0a803d26e30,biz,business-term,业绩报酬,yèjì bàochou,carried interest / performance fee,ok,claude:claude-opus-5,
13d0d2b2e8896889,biz,business-term,门槛收益率,ménkǎn shōuyìlǜ,hurdle rate,ok,claude:claude-opus-5,
90fd227a7ca6bf17,biz,business-term,基金期限,jījīn qīxiàn,fund term,ok,claude:claude-opus-5,
4dbf147409ae69fe,biz,business-term,投资期,tóuzīqī,investment period,ok,claude:claude-opus-5,
af0245a304b22073,biz,business-term,首次交割,shǒucì jiāogē,first close,ok,claude:claude-opus-5,
ccdac60773bb7a3d,biz,business-term,最终交割,zuìzhōng jiāogē,final close,ok,claude:claude-opus-5,
816b5797ad205b5e,biz,business-term,基石投资者,jīshí tóuzīzhě,anchor / cornerstone investor,ok,claude:claude-opus-5,
a267b9a6da06e2e6,biz,business-term,美元基金,měiyuán jījīn,USD fund,ok,claude:claude-opus-5,
